id,token
0,[PAD]
1,[BOS]
2,[EOS]
3,[UNK]
4,	
5, 
6,!
7,""""
8,#
9,$
10,%
11,&
12,'
13,(
14,)
15,*
16,+
17,","
18,-
19,.
20,/
21,0
22,1
23,2
24,3
25,4
26,5
27,6
28,7
29,8
30,9
31,:
32,;
33,<
34,=
35,>
36,?
37,@
38,A
39,B
40,C
41,D
42,E
43,F
44,G
45,H
46,I
47,J
48,K
49,L
50,M
51,N
52,O
53,P
54,Q
55,R
56,S
57,T
58,U
59,V
60,W
61,X
62,Y
63,Z
64,[
65,]
66,`
67,a
68,b
69,c
70,d
71,e
72,f
73,g
74,h
75,i
76,j
77,k
78,l
79,m
80,n
81,o
82,p
83,q
84,r
85,s
86,t
87,u
88,v
89,w
90,x
91,y
92,z
93,{
94,|
95,}
96, 
97,£
98,§
99,©
100,«
101,°
102,±
103,²
104,³
105,´
106,µ
107,·
108,»
109,½
110,Á
111,Ä
112,Å
113,É
114,Í
115,Ó
116,Õ
117,Ö
118,×
119,Ø
120,Ú
121,Ü
122,Ý
123,ß
124,á
125,â
126,ã
127,ä
128,æ
129,ç
130,è
131,é
132,ê
133,ë
134,í
135,ð
136,ñ
137,ò
138,ó
139,ô
140,õ
141,ö
142,ú
143,ü
144,ý
145,ā
146,ą
147,ć
148,Ĉ
149,ĉ
150,Č
151,č
152,Ď
153,ď
154,ē
155,ę
156,Ě
157,ě
158,Ĝ
159,ĝ
160,ĥ
161,Ĵ
162,ĵ
163,Ľ
164,ľ
165,Ł
166,ł
167,ń
168,Ň
169,ň
170,ŋ
171,Ō
172,ō
173,Ř
174,ř
175,Ś
176,ś
177,Ŝ
178,ŝ
179,Š
180,š
181,ť
182,Ŭ
183,ŭ
184,Ů
185,ů
186,ź
187,Ż
188,ż
189,Ž
190,ž
191,ǫ
192,ə
193,ɛ
194,ˈ
195,ˌ
196,ː
197,Β
198,Δ
199,Ε
200,Θ
201,Κ
202,Λ
203,Μ
204,Π
205,Χ
206,Ω
207,ά
208,έ
209,ή
210,ί
211,α
212,β
213,γ
214,δ
215,ε
216,η
217,θ
218,ι
219,κ
220,λ
221,μ
222,ν
223,ο
224,π
225,ρ
226,ς
227,σ
228,τ
229,υ
230,φ
231,χ
232,ω
233,ό
234,ύ
235,ώ
236,К
237,М
238,Н
239,а
240,в
241,д
242,е
243,ж
244,з
245,и
246,й
247,к
248,н
249,о
250,р
251,с
252,т
253,у
254,ц
255,ш
256,ъ
257,ы
258,я
259,ћ
260,א
261,ג
262,ד
263,ו
264,י
265,נ
266,ע
267,ף
268,ק
269,ר
270,ṇ
271,ἄ
272,Ἠ
273, 
274,​
275,–
276,—
277,‘
278,’
279,“
280,”
281,„
282,†
283,•
284,…
285,‰
286,′
287,″
288,€
289,℗
290,→
291,−
292,≈
293,≘
294,≡
295,⋅
296,─
297,宮
298,本
299,正
300,男
